rho (¦Ìm), A_phi (T¡¤m), A_phi_fitted (T¡¤m)
2.323232323232323537e+00,2.335567871759684476e-07,2.335567871759684476e-07
2.348484848484848619e+00,2.360954479061420076e-07,2.360954479061420076e-07
2.373737373737373701e+00,2.386341086363155941e-07,2.386341086363155941e-07
2.398989898989898784e+00,2.411727693664891541e-07,2.411727693664891541e-07
2.424242424242424310e+00,2.437114300966627141e-07,2.437114300966627141e-07
2.449494949494949392e+00,2.462500908268362741e-07,2.462500908268362741e-07
2.474747474747474474e+00,2.487887515570098342e-07,2.487887515570098342e-07
2.500000000000000000e+00,6.283185307179587355e-13,6.283185307179587355e-13
2.500000000000000000e+00,6.283185307179587355e-13,6.283185307179587355e-13
2.550251256281407475e+00,6.038011632158480562e-13,5.460674108395320932e-13
2.600502512562814061e+00,5.806913144988653631e-13,4.749522583232118837e-13
2.650753768844221536e+00,5.588832716013091473e-13,4.134072138756518042e-13
2.701005025125628567e+00,5.382810629521228793e-13,3.600960478107603771e-13
2.751256281407035154e+00,5.187974006997744866e-13,3.138769026914094833e-13
2.801507537688442628e+00,5.003527546293286733e-13,2.737727228551018012e-13
2.851758793969849659e+00,4.828745392878162302e-13,2.389464047661715216e-13
2.902010050251256246e+00,4.662963987736715054e-13,2.086798752398918227e-13
2.952261306532663721e+00,4.505575760065528546e-13,1.823564449533574391e-13
3.002512562814070751e+00,4.356023552627208910e-13,1.594458988232199109e-13
3.052763819095477338e+00,4.213795684086416567e-13,1.394918779484091501e-13
3.103015075376884813e+00,4.078421566483942347e-13,1.221011839752571756e-13
3.153266331658291843e+00,3.949467807647796172e-13,1.069346991953231447e-13
3.203517587939698430e+00,3.826534738171762303e-13,9.369966702881473891e-14
3.253768844221105905e+00,3.709253310916933591e-13,8.214311985774603579e-14
3.304020100502512935e+00,3.597282328060530123e-13,7.204627612284313163e-14
3.354271356783919966e+00,3.490305956734122384e-13,6.321975753220548357e-14
3.404522613065326997e+00,3.388031499429730368e-13,5.549950123506193114e-14
3.454773869346734028e+00,3.290187389747025577e-13,4.874326177154994171e-14
3.505025125628141058e+00,3.196521387824139678e-13,4.282761423501091487e-14
3.555276381909548089e+00,3.106798953034983878e-13,3.764538395983041427e-14
3.605527638190955120e+00,3.020801774327948394e-13,3.310343965141723262e-14
3.655778894472362150e+00,2.938326440991708216e-13,2.912079659519971988e-14
3.706030150753769181e+00,2.859183238720124110e-13,2.562698473825042375e-14
3.756281407035176212e+00,2.783195057657283496e-13,2.256064329324226556e-14
3.806532663316583243e+00,2.710196400675520445e-13,1.986830928655827376e-14
3.856783919597989829e+00,2.640032481507696274e-13,1.750337233945694800e-14
3.907035175879397304e+00,2.572558403548544729e-13,1.542517208129900322e-14
3.957286432160804335e+00,2.507638411182855328e-13,1.359821806973723109e-14
4.007537688442210921e+00,2.445145206411285675e-13,1.199151503644181583e-14
4.057788944723618840e+00,2.384959324345280569e-13,1.057797877325536566e-14
4.108040201005024983e+00,2.326968561845887248e-13,9.333930093401710788e-15
4.158291457286432014e+00,2.271067454200115611e-13,8.238656104610575223e-15
4.208542713567839932e+00,2.217156795273947783e-13,7.274029565202626485e-15
4.258793969849246075e+00,2.165143197062493611e-13,6.424178401727422847e-15
4.309045226130653106e+00,2.114938684983458257e-13,5.675198582426113966e-15
4.359296482412061025e+00,2.066460325636943963e-13,5.014904493818565107e-15
4.409547738693467167e+00,2.019629884088756161e-13,4.432611782683474978e-15
4.459798994974875086e+00,1.974373508031095000e-13,3.918948323342099763e-15
4.510050251256282117e+00,1.930621436438410699e-13,3.465689567970173520e-15
4.560301507537689147e+00,1.888307730571066331e-13,3.065615050437481757e-15
4.610552763819095290e+00,1.847370025388998644e-13,2.712383254430620625e-15
4.660804020100502321e+00,1.807749299624522451e-13,2.400422434956945963e-15
4.711055276381910240e+00,1.769389662930622788e-13,2.124835307758815489e-15
4.761306532663317270e+00,1.732238158670705383e-13,1.881315801330790930e-15
4.811557788944724301e+00,1.696244581049832055e-13,1.666076307631321203e-15
4.861809045226131332e+00,1.661361305407786802e-13,1.475784075750058166e-15
4.912060301507537474e+00,1.627543130602356395e-13,1.307505572450930119e-15
4.962311557788944505e+00,1.594747132508372746e-13,1.158657788685292482e-15
5.012562814070352424e+00,1.562932527745546829e-13,1.026965605297978997e-15
5.062814070351758566e+00,1.532060546826954508e-13,9.104244471716258986e-16
5.113065326633166485e+00,1.502094315991154781e-13,8.072675554878410967e-16
5.163316582914573516e+00,1.472998747045179908e-13,7.159372947830813433e-16
5.213567839195979658e+00,1.444740434603680411e-13,6.350599868906238945e-16
5.263819095477386689e+00,1.417287560162102608e-13,5.634238292743715158e-16
5.314070351758794608e+00,1.390609802489360678e-13,4.999595120374754012e-16
5.364321608040200751e+00,1.364678253868659754e-13,4.437231972006807872e-16
5.414572864321608670e+00,1.339465341754290643e-13,3.938815666995126818e-16
5.464824120603015700e+00,1.314944755447847021e-13,3.496986828140087785e-16
5.515075376884421843e+00,1.291091377429646393e-13,3.105244371674625927e-16
5.565326633165828873e+00,1.267881219010638979e-13,2.757843926569024269e-16
5.615577889447236792e+00,1.245291359996891050e-13,2.449708472643351115e-16
5.665829145728642935e+00,1.223299892083218986e-13,2.176349701252801993e-16
5.716080402010050854e+00,1.201885865714859590e-13,1.933798789153743555e-16
5.766331658291457885e+00,1.181029240176469828e-13,1.718545439164863008e-16
5.816582914572864027e+00,1.160710836686362489e-13,1.527484183519987496e-16
5.866834170854271058e+00,1.140912294290949407e-13,1.357867070063508972e-16
5.917085427135678977e+00,1.121616028369953302e-13,1.207261960001000434e-16
5.967336683417086007e+00,1.102805191577258206e-13,1.073515760813637214e-16
6.017587939698493038e+00,1.084463637055359760e-13,9.547220009329305679e-17
6.067839195979900069e+00,1.066575883773426167e-13,8.491922253790822944e-17
6.118090452261307099e+00,1.049127083849992319e-13,7.554307551178276103e-17
6.168341708542713242e+00,1.032102991731488087e-13,6.721124085404915102e-17
6.218592964824121161e+00,1.015489935107106753e-13,5.980628322223168762e-17
6.268844221105528192e+00,9.992747874491221109e-14,5.322411308381602280e-17
6.319095477386935222e+00,9.834449420756526991e-14,4.737245235719645667e-17
6.369346733668342253e+00,9.679882876401730039e-14,4.216947872091926330e-17
6.419597989949749284e+00,9.528931849587695527e-14,3.754262749264512056e-17
6.469849246231155426e+00,9.381484450923512692e-14,3.342753250933232525e-17
6.520100502512562457e+00,9.237433086067355607e-14,2.976708966166478188e-17
6.570351758793971264e+00,9.096674259388174847e-14,2.651062868706337270e-17
6.620603015075377407e+00,8.959108388019212908e-14,2.361318054017824007e-17
6.670854271356784437e+00,8.824639625679396026e-14,2.103482916680553325e-17
6.721105527638191468e+00,8.693175695680630068e-14,1.874013783226778220e-17
6.771356783919597611e+00,8.564627732577640667e-14,1.669764132078620072e-17
6.821608040201004641e+00,8.438910131952928190e-14,1.487939634781236611e-17
6.871859296482413448e+00,8.315940407862690475e-14,1.326058342978969821e-17
6.922110552763819591e+00,8.195639057500429064e-14,1.181915425036173649e-17
6.972361809045226622e+00,8.077929432663544198e-14,1.053551926176159961e-17
7.022613065326633652e+00,7.962737617634955531e-14,9.392270876505822857e-18
7.072864321608039795e+00,7.849992313116387870e-14,8.373938147654922568e-18
7.123115577889446826e+00,7.739624725873012391e-14,7.466769314635101989e-18
7.173366834170855633e+00,7.631568463770469637e-14,6.658539013695814649e-18
7.223618090452261775e+00,7.525759435905294746e-14,5.938377324311197104e-18
7.273869346733668806e+00,7.422135757548116175e-14,5.296618151195079893e-18
7.324120603015075837e+00,7.320637659636494195e-14,4.724664731337148591e-18
7.374371859296482867e+00,7.221207402570133566e-14,4.214870311189532320e-18
7.424623115577889010e+00,7.123789194076369826e-14,3.760432264890578976e-18
7.474874371859296041e+00,7.028329110927727761e-14,3.355298123766226284e-18
7.525125628140704848e+00,6.934775024306475970e-14,2.994082163429905366e-18
7.575376884422110990e+00,6.843076528623296624e-14,2.671991350364074119e-18
7.625628140703518021e+00,6.753184873608527664e-14,2.384759587332751206e-18
7.675879396984925052e+00,6.665052899505221207e-14,2.128589318479372202e-18
7.726130653266331194e+00,6.578634975203089303e-14,1.900099662383633729e-18
7.776381909547738225e+00,6.493886939161837868e-14,1.696280336340346704e-18
7.826633165829147032e+00,6.410766042981039336e-14,1.514450719138706825e-18
7.876884422110553174e+00,6.329230897481966892e-14,1.352223473945697410e-18
7.927135678391960205e+00,6.249241421174319304e-14,1.207472218663871798e-18
7.977386934673367236e+00,6.170758790988128917e-14,1.078302789339861137e-18
8.027638190954773378e+00,6.093745395157703657e-14,9.630276937242768839e-19
8.077889447236181297e+00,6.018164788150869532e-14,8.601433977032149779e-19
8.128140703517589216e+00,5.943981647542665642e-14,7.683101277206199208e-19
8.178391959798995359e+00,5.871161732738214987e-14,6.863339080937377259e-19
8.228643216080403278e+00,5.799671845454666740e-14,6.131505838241436363e-19
8.278894472361809420e+00,5.729479791877122810e-14,5.478116075958186705e-19
8.329145728643215563e+00,5.660554346407932808e-14,4.894713945449336200e-19
8.379396984924623482e+00,5.592865216933188150e-14,4.373760704514092121e-19
8.429648241206031400e+00,5.526383011534240833e-14,3.908534585644559889e-19
8.479899497487437543e+00,5.461079206575995910e-14,3.493041676202590650e-19
8.530150753768845462e+00,5.396926116107219121e-14,3.121936589933877112e-19
8.580402010050251604e+00,5.333896862511631448e-14,2.790451845689499049e-19
8.630653266331657747e+00,5.271965348351668594e-14,2.494334990280801416e-19
8.680904522613065666e+00,5.211106229349835313e-14,2.229792609807965222e-19
8.731155778894473585e+00,5.151294888455438313e-14,1.993440469127570770e-19
8.781407035175879727e+00,5.092507410947149066e-14,1.782259103734192944e-19
8.831658291457287646e+00,5.034720560524369680e-14,1.593554263441538940e-19
8.881909547738693789e+00,4.977911756342792706e-14,1.424921673937530243e-19
8.932160804020099931e+00,4.922059050951768420e-14,1.274215641507104970e-19
8.982412060301507850e+00,4.867141109093234443e-14,1.139521078811786399e-19
9.032663316582915769e+00,4.813137187323972537e-14,1.019128576333731313e-19
9.082914572864321912e+00,4.760027114424851344e-14,9.115121855966760143e-20
9.133165829145729830e+00,4.707791272562504854e-14,8.153096171540199168e-20
9.183417085427135973e+00,4.656410579170614206e-14,7.293045891060466657e-20
9.233668341708542115e+00,4.605866469519531212e-14,6.524110910346225284e-20
9.283919597989950034e+00,4.556140879944533844e-14,5.836593541341531771e-20
9.334170854271357953e+00,4.507216231704410614e-14,5.221833413345242152e-20
9.384422110552764096e+00,4.459075415443457280e-14,4.672095916768769646e-20
9.434673366834172015e+00,4.411701776231227078e-14,4.180472714015984151e-20
9.484924623115578157e+00,4.365079099155630274e-14,3.740793003931834428e-20
9.535175879396984300e+00,4.319191595446106591e-14,3.347544370229009575e-20
9.585427135678392219e+00,4.274023889104690903e-14,2.995802172370627601e-20
9.635678391959800138e+00,4.229561004023852806e-14,2.681166551329376881e-20
9.685929648241206280e+00,4.185788351570951830e-14,2.399706224030362597e-20
9.736180904522614199e+00,4.142691718620084705e-14,2.147908330510237153e-20
9.786432160804020342e+00,4.100257256013006061e-14,1.922633678128360747e-20
9.836683417085426484e+00,4.058471467431626259e-14,1.721076798644768163e-20
9.886934673366834403e+00,4.017321198665397222e-14,1.540730297612727554e-20
9.937185929648242322e+00,3.976793627257640529e-14,1.379353032187981800e-20
9.987437185929648464e+00,3.936876252515625590e-14,1.234941703903332742e-20
1.003768844221105638e+01,3.897556885869834893e-14,1.105705497881104441e-20
1.008793969849246253e+01,3.858823641568570227e-14,9.900434399668058369e-21
1.013819095477386867e+01,3.820664927694612325e-14,8.865241789052714770e-21
1.018844221105527659e+01,3.783069437491259758e-14,7.938679324277062483e-21
1.023869346733668273e+01,3.746026140985643438e-14,7.109303644018558851e-21
1.028894472361808887e+01,3.709524276897716054e-14,6.366881853984010750e-21
1.033919597989949857e+01,3.673553344823842089e-14,5.702262914829917742e-21
1.038944723618090471e+01,3.638103097684391825e-14,5.107262760561167982e-21
1.043969849246231085e+01,3.603163534425182572e-14,4.574561673997318218e-21
1.048994974874371877e+01,3.568724892963087505e-14,4.097612604886158620e-21
1.054020100502512491e+01,3.534777643366498477e-14,3.670559257974884719e-21
1.059045226130653106e+01,3.501312481261760258e-14,3.288162904707407809e-21
1.064070351758794075e+01,3.468320321457060904e-14,2.945736984878663561e-21
1.069095477386934689e+01,3.435792291775610079e-14,2.639088665038791496e-21
1.074120603015075304e+01,3.403719727090302552e-14,2.364466610029108006e-21
1.079145728643216096e+01,3.372094163552373317e-14,2.118514303934436015e-21
1.084170854271356710e+01,3.340907333006863815e-14,1.898228328003728928e-21
1.089195979899497502e+01,3.310151157588029842e-14,1.700921066664416781e-21
1.094221105527638294e+01,3.279817744488088720e-14,1.524187369468838294e-21
1.099246231155778908e+01,3.249899380892980297e-14,1.365874747410289256e-21
1.104271356783919700e+01,3.220388529079078930e-14,1.224056727192795804e-21
1.109296482412060314e+01,3.191277821665034019e-14,1.097009027325265747e-21
1.114321608040200928e+01,3.162560057013162153e-14,9.831882558619922325e-22
1.119346733668341720e+01,3.134228194775021583e-14,8.812128616979811559e-22
1.124371859296482512e+01,3.106275351576028786e-14,7.898460999659956823e-22
1.129396984924623126e+01,3.078694796834189586e-14,7.079807976461020024e-22
1.134422110552763918e+01,3.051479948708180123e-14,6.346257283189327445e-22
1.139447236180904532e+01,3.024624370170253373e-14,5.688934253675707984e-22
1.144472361809045147e+01,2.998121765199565609e-14,5.099892811232005336e-22
1.149497487437185939e+01,2.971965975091748140e-14,4.572017956919226099e-22
1.154522613065326730e+01,2.946150974880663904e-14,4.098938537040554378e-22
1.159547738693467345e+01,2.920670869868484767e-14,3.674949201799558220e-22
1.164572864321608137e+01,2.895519892260343369e-14,3.294940582744422326e-22
1.169597989949748751e+01,2.870692397899984422e-14,2.954336819943530275e-22
1.174623115577889365e+01,2.846182863102964641e-14,2.649039662130605157e-22
1.179648241206030157e+01,2.821985881584071077e-14,2.375378445503489606e-22
1.184673366834170949e+01,2.798096161475793872e-14,2.130065330515329811e-22
1.189698492462311563e+01,2.774508522434753220e-14,1.910155241802690671e-22
1.194723618090452355e+01,2.751217892833144391e-14,1.713010015191584241e-22
1.199748743718592969e+01,2.728219307032360605e-14,1.536266308261070180e-22
1.204773869346733584e+01,2.705507902736045367e-14,1.377806877893133760e-22
1.209798994974874375e+01,2.683078918419948292e-14,1.235734870195003368e-22
1.214824120603015167e+01,2.660927690836047146e-14,1.108350805678997753e-22
1.219849246231155782e+01,2.639049652588494083e-14,9.941319761016305660e-23
1.224874371859296573e+01,2.617440329779028038e-14,8.917139993223163366e-23
1.229899497487437188e+01,2.596095339719595537e-14,7.998743053228568015e-23
1.234924623115577802e+01,2.575010388709991318e-14,7.175173504699054366e-23
1.239949748743718594e+01,2.554181269878418499e-14,6.436613785065931953e-23
1.244974874371859208e+01,2.533603861082933978e-14,5.774265658964397398e-23
1.250000000000000000e+01,2.513274122871834992e-14,5.180244062538372008e-23
